X:5.319 Y:7.996
X:5.1 Y:8.014
X:5.316 Y:7.891
X:5.214 Y:7.619
X:4.794 Y:6.668
X:4.332 Y:6.56
X:4.168 Y:6.771
X:4.344 Y:7.427
X:4.526 Y:7.583
X:4.461 Y:7.549
X:4.662 Y:7.411
X:4.953 Y:7.295
X:5.22 Y:7.283
X:5.387 Y:7.275
X:5.491 Y:7.27
X:5.471 Y:7.207
X:5.628 Y:7.287
X:5.981 Y:7.662
X:5.572 Y:7.242
X:5.309 Y:7.778
X:4.947 Y:7.454
X:4.437 Y:7.373
X:4.427 Y:7.575
X:4.985 Y:7.012
X:4.679 Y:5.95
X:4.243 Y:5.627
X:4.649 Y:6.25
X:4.937 Y:6.058
X:4.615 Y:6.473
X:4.537 Y:7.01
X:3.719 Y:6.521
X:3.09 Y:6.468
X:3.091 Y:6.748
X:3.428 Y:6.586
X:3.038 Y:6.083
X:2.518 Y:5.749
X:2.459 Y:5.389
X:2.846 Y:5.383
X:2.881 Y:5.555
X:3.224 Y:5.786
X:3.68 Y:6.275
X:3.879 Y:6.666
X:4.008 Y:6.912
X:4.17 Y:6.978
X:4.476 Y:6.77
X:4.221 Y:6.7
X:4.303 Y:6.698
X:4.435 Y:6.613
X:4.347 Y:6.584
X:4.22 Y:6.648
X:4.285 Y:6.514
X:4.492 Y:6.562
X:4.76 Y:6.725
X:5.414 Y:6.699
X:5.579 Y:6.828
X:5.305 Y:7.205
X:5.665 Y:7.113
X:6.225 Y:7.096
X:6.184 Y:7.42
X:6.005 Y:7.824
X:5.973 Y:8.258
X:5.938 Y:7.792
X:5.767 Y:7.528
X:5.975 Y:7.906
X:6.249 Y:7.776
X:5.911 Y:7.745
X:5.615 Y:7.246
X:5.214 Y:6.775
X:4.927 Y:6.189
X:4.621 Y:6.412
X:4.867 Y:6.764
X:5.185 Y:7.233
X:5.759 Y:7.458
X:5.586 Y:7.415
X:5.54 Y:7.014
X:5.508 Y:7.055
X:5.872 Y:7.215
X:6.021 Y:7.265
X:6.042 Y:7.388
X:5.755 Y:7.374
X:5.452 Y:7.242
X:5.635 Y:7.423
X:5.746 Y:7.253
X:5.894 Y:7.054
X:5.812 Y:6.842
X:5.841 Y:6.762
X:6.301 Y:6.888
X:6.302 Y:6.751
X:6.147 Y:6.705
X:5.647 Y:6.685
X:5.306 Y:6.658
X:5.014 Y:6.571
X:4.831 Y:6.517
X:4.879 Y:6.313
X:4.741 Y:6.36
X:4.823 Y:6.215
X:5.107 Y:6.008
X:4.793 Y:5.939
X:4.924 Y:6.158
X:5.102 Y:6.359
X:4.895 Y:6.381
X:4.933 Y:6.681
X:4.951 Y:6.714
X:4.797 Y:6.759
X:5.064 Y:7.027
X:5.465 Y:7.484
X:5.243 Y:7.929
X:4.653 Y:7.814
X:3.955 Y:7.503
X:3.843 Y:7.409
X:3.906 Y:6.821
X:4.482 Y:7.09
X:4.601 Y:7.378
X:5.453 Y:8.16
X:5.814 Y:8.643
X:5.477 Y:7.961
X:5.897 Y:7.308
X:5.31 Y:7.368
X:4.387 Y:6.658
X:4.146 Y:5.8
X:4.253 Y:6.778
X:4.681 Y:6.933
X:4.732 Y:6.981
X:5.184 Y:6.809
X:5.415 Y:6.278
X:6.118 Y:6.661
X:6.458 Y:6.458
X:7.24 Y:5.85
X:7.408 Y:5.34
X:6.993 Y:5.784
X:6.282 Y:5.685
X:5.67 Y:5.615
X:5.871 Y:5.714
X:5.958 Y:6.119
X:6.28 Y:6.327
X:6.629 Y:6.008
X:6.576 Y:5.681
X:6.898 Y:5.672
X:7.63 Y:5.999
X:7.946 Y:6.24
X:8.069 Y:6.351
X:7.995 Y:6.329
X:8.164 Y:6.335
X:8.005 Y:6.331
X:7.823 Y:5.082
X:7.265 Y:4.161
X:7.241 Y:4.645
X:7.877 Y:5.231
X:8.094 Y:5.366
X:8.415 Y:5.435
X:8.946 Y:5.72
X:9.067 Y:5.719
X:9.008 Y:5.203
X:7.982 Y:5.12
X:7.185 Y:4.955
X:6.757 Y:4.189
X:7.486 Y:3.112
X:7.875 Y:2.531
X:7.305 Y:2.614
X:7.663 Y:2.345
X:7.006 Y:2.812
X:6.298 Y:3.115
X:5.897 Y:3.991
X:6.786 Y:4.877
X:6.837 Y:5.072
X:6.789 Y:5.732
X:6.711 Y:6.359
X:6.697 Y:6.405
X:6.672 Y:5.851
X:6.646 Y:5.822
X:5.962 Y:5.682
X:5.462 Y:5.07
X:5.817 Y:5.706
X:5.968 Y:5.632
X:6.565 Y:5.967
X:6.799 Y:6.194
X:6.804 Y:6.104
X:6.691 Y:5.485
X:7.018 Y:5.313
X:7.001 Y:5.613
X:6.719 Y:5.983
X:6.332 Y:6.175
X:6.21 Y:6.146
X:6.178 Y:5.927
X:6.317 Y:5.902
X:6.369 Y:5.632
X:7.238 Y:5.225
X:8.4 Y:4.197
X:9.002 Y:4.642
X:8.27 Y:5.323
X:7.273 Y:6.086
X:6.829 Y:6.961
X:6.427 Y:6.893
X:5.908 Y:6.212
X:6.247 Y:6.249
X:6.347 Y:6.562
X:6.455 Y:7.28
X:6.298 Y:7.558
X:5.973 Y:7.561
X:5.449 Y:7.802
X:5.121 Y:7.953
X:5.61 Y:7.071
X:6.687 Y:6.402
X:7.648 Y:6.531
X:7.829 Y:6.206
X:7.564 Y:5.967
X:7.318 Y:5.763
X:7.238 Y:5.704
X:7.431 Y:5.981
X:7.539 Y:6.032
X:7.525 Y:6.009
X:7.517 Y:5.994
X:7.512 Y:5.985
X:7.363 Y:5.991
X:7.335 Y:5.926
X:7.398 Y:5.942
X:7.67 Y:5.995
X:7.923 Y:6.082
X:7.909 Y:5.728
X:7.666 Y:5.747
X:7.736 Y:5.345
X:7.061 Y:5.951
X:7.239 Y:5.931
X:6.952 Y:5.467
X:6.99 Y:5.542
X:7.072 Y:5.524
X:6.391 Y:6.229
X:6.553 Y:5.821
X:6.943 Y:6.128
X:7.728 Y:6.358
X:7.782 Y:7.289
X:6.908 Y:6.594
X:6.374 Y:5.842
X:5.751 Y:5.277
X:5.642 Y:5.168
X:5.993 Y:4.892
X:5.922 Y:4.508
X:5.585 Y:4.263
X:5.262 Y:3.793
X:4.821 Y:4.052
X:4.953 Y:3.678
X:5.034 Y:3.483
X:4.978 Y:3.032
X:4.951 Y:2.307
X:5.034 Y:1.912
X:4.816 Y:0.62
X:5.493 Y:0.101
X:5.625 Y:-0.42
X:5.968 Y:-0.656
X:6.452 Y:0.578
X:6.761 Y:1.464
X:6.514 Y:1.7
X:6.373 Y:1.88
X:6.243 Y:3.026
X:6.344 Y:4.12
X:5.855 Y:4.874
X:5.979 Y:4.882
X:5.52 Y:5.463
X:5.912 Y:5.886
X:5.934 Y:6.279
X:6.153 Y:6.332
X:6.034 Y:6.133
X:6.421 Y:6.226
X:7.225 Y:6.499
X:6.943 Y:6.619
X:7.199 Y:7.39
X:8.252 Y:7.573
X:8.628 Y:7.676
X:8.79 Y:7.61
X:7.647 Y:7.304
X:7.153 Y:5.916
X:6.965 Y:5.505
X:6.842 Y:6.192
X:6.777 Y:6.697
X:6.428 Y:7.148
X:6.88 Y:7.52
X:7.38 Y:7.749
X:7.987 Y:7.784
X:8.31 Y:7.803
X:8.346 Y:7.615
X:8.973 Y:7.462
X:9.224 Y:6.418
X:9.055 Y:6.395
X:8.106 Y:6.184
X:7.42 Y:6.316
X:7.012 Y:6.215
X:6.482 Y:5.184
X:6.07 Y:4.401
X:5.471 Y:3.9
X:4.837 Y:3.71
X:4.813 Y:4.249
X:4.951 Y:4.437
X:4.884 Y:4.704
X:5.046 Y:4.927
X:5.097 Y:4.861
X:5.091 Y:4.858
X:5.441 Y:5.32
X:5.526 Y:5.188
X:5.25 Y:4.562
X:5.532 Y:4.994
X:5.949 Y:4.97
X:6.026 Y:4.997
X:6.001 Y:5.721
X:6.695 Y:6.345
X:7.133 Y:6.869
X:7.398 Y:7.076
X:7.347 Y:7.035
X:7.625 Y:7.084
X:7.144 Y:6.698
X:6.253 Y:5.878
X:5.954 Y:5.499
X:6.172 Y:5.635
X:6.499 Y:5.93
X:6.925 Y:6.292
X:7.633 Y:6.697
X:8.19 Y:6.681
X:8.424 Y:6.94
X:8.418 Y:7.0
X:9.377 Y:6.624
X:10.185 Y:6.879
X:10.914 Y:6.709
X:11.265 Y:6.976
X:10.881 Y:6.178
X:11.238 Y:6.007
X:13.095 Y:5.994
X:14.001 Y:6.538
X:13.338 Y:6.409
X:12.452 Y:6.669
X:11.89 Y:6.892
X:11.487 Y:6.815
X:10.982 Y:6.375
X:10.613 Y:6.261
X:10.72 Y:6.189
X:10.415 Y:6.262
X:8.809 Y:6.186
X:7.57 Y:6.064
X:6.818 Y:5.841
X:6.201 Y:5.396
X:5.924 Y:4.854
X:5.51 Y:5.085
X:5.446 Y:5.338
X:5.411 Y:5.636
X:5.694 Y:5.595
X:6.406 Y:5.837
X:6.777 Y:5.938
X:6.502 Y:5.958
X:7.22 Y:4.95
X:7.967 Y:5.332
X:9.704 Y:5.627
X:10.625 Y:5.781
X:11.68 Y:5.292
X:11.331 Y:4.879
X:9.912 Y:3.653
X:9.14 Y:3.753
X:9.016 Y:3.922
X:8.593 Y:4.22
X:8.438 Y:4.129
X:8.469 Y:3.94
X:8.349 Y:3.489
X:8.407 Y:3.959
X:8.776 Y:4.677
X:8.659 Y:5.159
X:8.279 Y:5.615
X:9.248 Y:5.828
X:8.97 Y:6.129
X:8.38 Y:5.656
X:7.528 Y:5.212
X:7.574 Y:5.549
X:7.749 Y:5.756
X:8.23 Y:5.979
X:8.419 Y:6.493
X:6.923 Y:6.674
X:6.699 Y:6.608
X:6.657 Y:6.317
X:6.13 Y:5.645
X:5.93 Y:5.384
X:5.782 Y:5.232
X:5.796 Y:5.245
X:5.32 Y:5.431
X:5.357 Y:5.177
X:4.0 Y:6.454
X:3.49 Y:6.679
X:3.962 Y:6.358
X:3.97 Y:6.507
X:4.003 Y:5.431
X:3.91 Y:4.915
X:4.614 Y:4.944
X:5.119 Y:4.66
X:6.332 Y:5.186
X:6.649 Y:5.429
X:6.612 Y:5.168
X:7.083 Y:5.411
X:7.263 Y:5.144
X:6.993 Y:3.62
X:6.728 Y:3.018
X:6.854 Y:3.264
X:6.428 Y:4.278
X:6.908 Y:4.785
X:6.882 Y:4.454
X:6.618 Y:4.994
X:6.738 Y:4.843
X:7.076 Y:4.564
X:7.223 Y:4.485
X:7.292 Y:4.272
X:6.867 Y:4.097
X:6.597 Y:3.843
X:6.371 Y:3.618
X:6.423 Y:3.701
X:6.622 Y:4.032
X:6.976 Y:3.433
X:7.491 Y:3.569
X:7.749 Y:4.317
X:7.923 Y:4.914
X:7.895 Y:5.27
X:7.358 Y:4.805
X:6.915 Y:4.764
X:6.671 Y:3.918
X:6.242 Y:3.73
X:5.917 Y:3.697
X:5.611 Y:4.023
X:5.498 Y:4.143
X:5.386 Y:4.441
X:5.362 Y:4.285
X:5.415 Y:4.058
X:5.524 Y:3.665
X:5.363 Y:3.504
X:5.402 Y:2.66
X:5.426 Y:3.167
X:5.35 Y:2.717
X:4.964 Y:2.329
X:5.187 Y:2.676
X:5.21 Y:2.508
X:5.313 Y:2.44
X:5.523 Y:2.97
X:5.578 Y:3.241
X:5.48 Y:3.433
X:5.313 Y:3.47
X:5.229 Y:3.597
X:6.43 Y:4.016
X:6.62 Y:3.558
X:6.801 Y:2.888
X:7.034 Y:1.669
X:6.999 Y:1.452
X:7.992 Y:0.857
X:8.201 Y:1.163
X:7.839 Y:1.669
X:7.489 Y:1.821
X:7.406 Y:2.563
X:7.599 Y:3.339
X:7.984 Y:4.394
X:8.37 Y:5.022
X:8.946 Y:5.541
X:8.052 Y:4.838
X:7.153 Y:4.317
X:7.688 Y:5.219
X:7.836 Y:5.504
X:7.512 Y:5.589
X:7.448 Y:5.636
X:7.326 Y:5.611
X:7.588 Y:5.658
X:7.559 Y:5.156
X:6.791 Y:4.69
X:6.955 Y:4.198
X:6.601 Y:4.912
X:6.549 Y:5.292
X:6.882 Y:5.689
X:7.054 Y:5.866
X:6.96 Y:6.066
X:6.901 Y:6.191
X:7.169 Y:6.366
X:7.477 Y:6.345
X:7.487 Y:6.204
X:7.904 Y:6.381
X:8.653 Y:6.197
X:8.409 Y:6.171
X:8.257 Y:6.154
X:8.469 Y:5.976
X:8.575 Y:5.778
X:8.9 Y:5.283
X:9.576 Y:4.891
X:8.714 Y:5.088
X:8.121 Y:5.268
X:7.74 Y:5.395
X:7.636 Y:5.487
X:7.557 Y:5.247
X:6.801 Y:4.965
X:6.423 Y:4.142
X:6.282 Y:4.263
X:7.083 Y:3.733
X:7.408 Y:3.603
X:7.766 Y:3.637
X:8.931 Y:3.428
X:9.769 Y:3.14
X:10.331 Y:2.78
X:9.385 Y:3.189
X:8.827 Y:3.855
X:7.618 Y:4.886
X:6.095 Y:5.259
X:4.984 Y:5.645
X:3.578 Y:6.03
X:3.17 Y:5.752
X:4.042 Y:6.554
X:4.617 Y:7.466
X:4.282 Y:7.109
X:4.04 Y:7.092
X:4.655 Y:7.454
X:4.841 Y:7.773
X:4.652 Y:7.736
X:4.729 Y:7.498
X:4.758 Y:7.213
X:5.026 Y:6.724
X:5.324 Y:6.32
X:5.265 Y:6.301
X:5.32 Y:6.224
X:5.15 Y:6.036
X:5.096 Y:6.488
X:6.051 Y:6.408
X:6.279 Y:6.486
X:6.291 Y:6.67
X:6.364 Y:6.717
X:6.143 Y:6.897
X:6.08 Y:6.953
X:6.123 Y:7.052
X:7.044 Y:6.441
X:7.395 Y:5.262
X:7.854 Y:5.152
X:7.684 Y:5.118
X:7.429 Y:5.525
X:7.382 Y:5.889
X:6.082 Y:5.91
X:5.163 Y:5.941
X:4.963 Y:5.126
X:5.439 Y:5.824
X:6.311 Y:5.885
X:6.045 Y:6.438
X:6.178 Y:7.018
X:6.34 Y:7.447
X:6.916 Y:7.789
X:6.599 Y:8.015
X:6.401 Y:8.156
X:6.339 Y:8.172
X:6.589 Y:8.272
X:6.668 Y:8.28
X:6.702 Y:8.152
X:6.735 Y:8.199
X:7.288 Y:8.124
X:7.072 Y:7.499
X:6.642 Y:7.152
X:6.718 Y:6.966
X:6.217 Y:6.928
X:6.187 Y:6.996
X:5.996 Y:6.493
X:5.199 Y:6.018
X:5.263 Y:5.286
X:5.593 Y:5.378
X:5.677 Y:5.433
X:5.89 Y:4.923
X:5.551 Y:5.247
X:5.838 Y:4.794
X:5.76 Y:5.613
X:5.831 Y:6.874
X:6.728 Y:7.099
X:6.189 Y:7.344
X:5.133 Y:7.932
X:5.619 Y:16.267
X:5.549 Y:8.488
X:5.643 Y:7.494
X:5.803 Y:7.715
X:6.302 Y:9.039
X:6.66 Y:9.91
X:7.18 Y:10.306
X:7.164 Y:10.171
X:8.348 Y:8.994
X:7.529 Y:7.18
X:7.01 Y:6.857
X:6.995 Y:8.019
X:7.124 Y:8.689
X:7.079 Y:8.74
X:6.581 Y:9.517
X:6.618 Y:9.886
X:6.657 Y:10.144
X:6.493 Y:10.199
X:6.126 Y:9.471
X:5.846 Y:9.257
X:5.61 Y:9.17
X:5.736 Y:9.077
X:5.334 Y:9.61
X:5.64 Y:9.42
X:6.041 Y:10.164
X:6.768 Y:10.451
X:7.882 Y:9.115
X:7.489 Y:8.114
X:6.783 Y:9.533
X:6.375 Y:9.963
X:6.49 Y:8.416
X:6.731 Y:8.491
X:7.104 Y:8.447
X:7.804 Y:8.249
X:8.592 Y:7.85
X:8.451 Y:8.609
X:8.639 Y:9.408
X:8.804 Y:9.726
X:8.825 Y:10.046
X:8.529 Y:10.085
X:8.067 Y:10.031
X:7.923 Y:10.227
X:7.527 Y:10.514
X:6.916 Y:11.15
X:6.268 Y:11.783
X:5.682 Y:11.803
X:5.917 Y:11.599
X:6.044 Y:11.317
X:6.185 Y:11.191
X:6.595 Y:11.376
X:6.558 Y:11.897
X:6.278 Y:12.038
X:5.913 Y:11.919
X:5.474 Y:11.414
X:5.912 Y:11.067
X:6.509 Y:10.588
X:7.173 Y:9.696
X:7.426 Y:9.309
X:8.119 Y:9.164
X:7.932 Y:10.017
X:7.24 Y:10.781
X:7.154 Y:9.918
X:6.774 Y:8.873
X:6.388 Y:8.852
X:6.22 Y:9.408
X:5.411 Y:9.218
X:5.325 Y:9.216
X:5.237 Y:9.912
X:5.664 Y:11.2
X:5.825 Y:10.949
X:4.931 Y:11.361
X:4.736 Y:11.409
X:4.949 Y:10.705
X:5.176 Y:11.093
X:4.461 Y:11.101
X:4.183 Y:10.878
X:5.297 Y:10.359
X:6.356 Y:10.081
X:5.971 Y:10.86
X:5.164 Y:11.19
X:5.036 Y:11.413
X:5.638 Y:11.843
X:5.816 Y:11.818
X:5.775 Y:11.833
X:5.116 Y:11.685
X:5.523 Y:11.781
X:6.115 Y:11.589
X:5.728 Y:11.741
X:5.486 Y:11.836
X:5.363 Y:11.813
X:5.424 Y:11.646
X:5.526 Y:11.499
X:5.416 Y:11.431
X:5.701 Y:11.38
X:5.866 Y:11.453
X:5.744 Y:11.591
X:6.309 Y:11.808
X:6.478 Y:12.614
X:6.803 Y:12.744
X:7.355 Y:14.008
X:7.638 Y:14.621
X:7.519 Y:14.917
X:7.691 Y:14.641
X:8.187 Y:13.779
X:8.164 Y:13.387
X:7.428 Y:13.289
X:7.092 Y:13.523
X:6.692 Y:13.465
X:6.374 Y:13.177
X:6.314 Y:13.003
X:6.394 Y:13.174
X:6.358 Y:13.402
X:6.342 Y:13.042
X:6.298 Y:12.697
X:5.814 Y:12.247
X:5.692 Y:12.135
X:5.758 Y:12.09
X:5.866 Y:12.12
X:5.934 Y:12.139
X:6.114 Y:12.183
X:6.212 Y:12.293
X:6.328 Y:12.416
X:6.556 Y:12.475
X:6.389 Y:12.213
X:5.997 Y:11.951
X:5.845 Y:11.548
X:6.323 Y:10.552
X:6.654 Y:9.953
X:6.212 Y:9.197
X:6.457 Y:9.005
X:6.603 Y:7.974
X:6.431 Y:6.899
X:7.208 Y:6.468
X:7.536 Y:6.333
X:7.222 Y:6.1
X:6.902 Y:6.091
X:6.442 Y:6.718
X:6.121 Y:7.195
X:6.018 Y:7.338
X:5.872 Y:7.72
X:5.846 Y:7.891
X:5.936 Y:7.846
X:6.141 Y:7.701
X:6.255 Y:7.596
X:6.413 Y:7.239
X:6.459 Y:7.032
X:6.943 Y:6.21
X:6.838 Y:6.315
X:7.63 Y:5.874
X:7.651 Y:4.685
X:8.246 Y:4.617
X:8.867 Y:4.763
X:9.409 Y:5.06
X:9.124 Y:5.577
X:8.3 Y:6.054
X:8.049 Y:5.815
X:8.098 Y:5.839
X:8.011 Y:6.212
X:7.802 Y:6.456
X:7.682 Y:6.4
X:7.802 Y:6.132
X:8.22 Y:6.264
X:8.546 Y:6.089
X:8.552 Y:6.3
X:8.415 Y:6.459
X:8.521 Y:6.341
X:8.609 Y:6.39
X:8.785 Y:6.271
X:8.895 Y:6.197
X:8.964 Y:6.151
X:9.007 Y:6.122
X:9.048 Y:6.111
X:9.134 Y:6.03
X:9.375 Y:6.074
X:9.841 Y:6.024
X:10.654 Y:5.709
X:11.447 Y:5.763
X:13.181 Y:5.306
X:13.345 Y:5.488
X:13.417 Y:5.493
X:12.896 Y:5.874
X:12.384 Y:6.073
X:11.875 Y:6.188
X:11.369 Y:6.296
X:11.127 Y:6.292
X:10.975 Y:6.289
X:10.88 Y:6.287
X:10.821 Y:6.286
X:10.899 Y:6.296
X:11.02 Y:6.14
X:10.906 Y:6.104
X:10.916 Y:6.093
X:11.088 Y:6.166
X:11.094 Y:6.203
X:10.913 Y:6.188
X:10.65 Y:6.212
X:10.446 Y:6.158
X:9.754 Y:6.036
X:9.254 Y:5.907
X:9.035 Y:5.993
X:8.639 Y:6.449
X:8.94 Y:6.555
X:8.298 Y:7.59
X:7.47 Y:7.003
X:6.343 Y:6.019
X:4.789 Y:5.724
X:4.154 Y:5.84
X:4.616 Y:6.349
X:4.291 Y:6.665
X:4.505 Y:6.083
X:4.498 Y:5.445
X:4.717 Y:5.497
X:4.616 Y:5.724
X:4.688 Y:5.601
X:4.527 Y:5.731
X:4.303 Y:5.57
X:4.253 Y:5.192
X:4.692 Y:5.149
X:4.758 Y:4.831
X:4.918 Y:4.773
X:5.029 Y:4.881
X:5.239 Y:5.077
X:5.226 Y:5.075
X:5.041 Y:5.426
X:5.471 Y:5.449
X:4.944 Y:5.434
X:4.334 Y:4.493
X:4.682 Y:2.387
X:4.649 Y:2.387
X:4.445 Y:2.052
X:4.357 Y:1.79
X:4.171 Y:1.787
X:4.05 Y:1.953
X:4.127 Y:2.179
X:4.007 Y:3.08
X:4.518 Y:3.494
X:4.452 Y:4.295
X:4.476 Y:5.122
X:4.733 Y:4.679
X:4.589 Y:5.938
X:4.974 Y:6.474
X:4.588 Y:5.107
X:4.573 Y:3.524
X:4.094 Y:2.441
X:3.817 Y:2.403
X:3.478 Y:3.844
X:3.98 Y:4.06
X:4.59 Y:4.772
X:4.339 Y:4.602
X:4.516 Y:4.561
X:4.477 Y:5.0
X:5.448 Y:4.769
X:6.377 Y:4.314
X:6.471 Y:4.497
X:5.885 Y:4.898
X:5.553 Y:5.614
X:5.47 Y:5.744
X:5.37 Y:6.357
X:5.078 Y:5.933
X:4.727 Y:5.056
X:5.508 Y:5.256
X:5.798 Y:4.689
X:5.655 Y:4.33
X:6.489 Y:4.478
X:7.332 Y:4.076
X:6.934 Y:4.409
X:7.035 Y:4.205
X:6.293 Y:4.592
X:5.816 Y:4.944
X:5.957 Y:5.284
X:5.857 Y:5.72
X:5.581 Y:5.943
X:5.594 Y:5.868
X:5.978 Y:5.168
X:5.981 Y:5.247
X:7.089 Y:5.177
X:7.001 Y:5.754
X:6.87 Y:6.048
X:7.327 Y:6.328
X:7.675 Y:6.832
X:7.673 Y:7.628
X:8.264 Y:8.189
X:8.224 Y:8.385
X:7.997 Y:9.082
X:7.551 Y:10.37
X:7.333 Y:10.639
X:6.728 Y:10.739
X:6.259 Y:10.805
X:5.758 Y:10.487
X:5.426 Y:10.568
X:5.544 Y:10.852
X:5.746 Y:11.085
X:5.68 Y:11.191
X:5.594 Y:11.153
X:5.558 Y:11.159
X:5.627 Y:11.87
X:5.832 Y:11.644
X:6.023 Y:11.856
X:5.511 Y:11.726
X:5.076 Y:11.719
X:4.928 Y:11.576
X:4.848 Y:11.271
X:4.507 Y:10.738
X:4.1 Y:10.694
X:4.094 Y:10.492
X:4.688 Y:10.198
X:5.295 Y:10.713
X:5.874 Y:11.072
X:5.895 Y:11.519
X:5.892 Y:11.432
X:5.786 Y:11.165
X:5.356 Y:11.217
X:5.357 Y:11.17
X:5.286 Y:10.945
X:5.437 Y:10.859
X:5.581 Y:10.358
X:6.242 Y:9.242
X:6.289 Y:8.641
X:6.696 Y:8.147
X:6.677 Y:7.383
X:6.754 Y:7.114
X:6.775 Y:6.986
